TreeID,date_2026_05,waterDepth_2026_05,phenology_2026_05,moisture_2026_05,diameters_2026_05,fluxStartNotes_2026_05,heights_2026_05,datasheet_note_2026_05
T-SE8a,2026_05_22,206,?,26;26;26,16;16?;20?,21:44;21:48;21:52,40;80;160,Special 2026_03
T-SE32a,2026_05_22,200,25% old;50% old?,28;32;32,19;18;17,20:31;20:36;20:39,40;80;160,Special 2026_03
T-SE17,2026_05_22,187,2.9% old?;80% gone?,20;20;20,16;16;16,21:59;22:03;22:06,40;80;160,
T-SE27,2026_05_22,185,50% old,18;19;17,24;23;23,21:23;21:32;21:37,40;80;160,
T-SE28a,2026_05_22,200,25% old,24;26;24,10.5;10;10,20:47;20:50;20:57,40;80;160,
T-SE32b,2026_05_22,217,70% old;30% new,22;19;22,55;53;51,20:10;20:14;20:19,40;80;160,
T-SE33,2026_05_22,261,70% new?,17;19;24,13;12;12,19:50;19:55;20:03,40;80;160,
T-SE40,2026_05_22,258,25% old,16;22;23,21;20;20,19:33;19:38;19:42,40;80;160,
T-SE58,2026_05_22,282,25% old;7.5% gone,19;17;16,31;30;29,19:01;19:05;19:09,40;80;160,
T-S14b,2026_05_25,,,,32;31;31,17:38;17:46;17:55,40;80;160,"isotopes @ 40+80cm, T=5min"
T-S19,2026_05_25,,,,,21:01;21:06;21:09,40;80;160,
T-S30,2026_05_25,,,,14;13.5,21:59;22:03,40;80,
T-S10,2026_05_25,,,,28;27;26,17:12;17:20;17:29,40;80;160,Special 2026_03
T-S14a,2026_05_25,,,,15;14,20:42;20:50,40;80,Special 2026_03
T-S53,2026_05_25,,,,34;33;33,21:39;21:43;21:48,40;80;160,Special 2026_03
T-S63a,2026_05_25,,,,45;43;44.5,21:19;21:24;21:30,40;80;160,Special 2026_03
T-S7,2026_05_25,,,,18.5;18;17,20:27;20:30;20:35,40;80;160,
T-SW61,2026_05_25,,,,,21:52;21:59;22:06,40;80;160,"5/25. isotopes @ 40, 80, 160"
T-SW22,2026_05_25,,,,,21:02;21:09;21:15,40;80;160,Special 2026_03
T-SW27,2026_05_25,,,,,,,Special 2026_03?
T-SW28,2026_05_25,,,,,,,Special 2026_03?
T-SW51,2026_05_25,,,,,,,Special 2026_03? overtaken by termites?
T-NE3,2026_05_25,,,,,,,Special 2026_03
T-NE14,2026_05_25,,,,,19:23;19:32;19:37,40;80;160,"Special 2026_03; took isotopes; 40/30?; T1 only, T2=2min"
T-NE25,2026_05_25,,,,,,,Special 2026_03
T-NE59,2026_05_25,,,,,20:15;20:21;20:25,40;80;160,"Special 2026_03; isotopes, as above"
T-NE6,2026_05_25,,,,,18:52;18:58;19:04,40;80;160,
T-NE8,2026_05_25,,,,,19:12,50,
T-NE10,2026_05_25,,,,,18:37;18:42,40;80;160,
T-NE12,2026_05_25,,,,,18:21;18:26;18:29,40;80;160,
T-NE31,2026_05_25,,,,,19:54;20:00,30;80,
T-NW46b,2026_05_26,,,,12.5;12.5,16:12;16:20,40;120,"Bump at 80, fork at 160"
T-NW48,2026_05_26,,,,15;14;14,16:29;16:36;16:41,40;80;160,nice 1-1 Air figure showing flux traces
T-NW78,2026_05_26,,,,22;21.5;21,16:50;16:54;16:57,40;80;160,Tree fell.
T-SE59,2026_05_26,273,90% old,21;14;13,14;14;13,19:16;19:21;19:25,40;80;160,5/22/26 Jon + Reginei
T-NW16,2026_05_26,,,,20;20;19,14:05;14:14;14:26,40;80;160,Special 2026_03
T-NW33a,2026_05_26,,,,12;12,15:05;15:09,40;80,Special 2026_03
T-NW9,2026_05_26,,,,14;13;13,13:44;13:52;13:56,40;80;120,
T-NW22,2026_05_26,,,,,14:35;14:39;14:43,40;80;160,Foia @ 160
T-NW26,2026_05_26,,,,20,14:56,50,Decayed; hollow no flux — seal?
T-NW39,2026_05_26,,,,17;16.5;16,15:16;15:24;15:29,40;80;160,
T-NW46a,2026_05_26,,60% old?,,26;26;25,15:42;15:52;16:00,40;80;160,"isotopes @ 40 + 80, t=5min"
T-E65,2026_05_27,,,,38;39,17:05,40,"Cicor died? (species struck through; TreeID circled, overwrites E89b?)"
T-W23a,2026_05_27,,,,31.5;31.5,16:41;16:49,40;80,"Special 2026_03; isotopes - 40+80cm, t1=5min"
T-W5,2026_05_27,,,,28;28,16:11;16:14,40;80,
T-W10,2026_05_27,,,,34.5;34.5,16:20;16:28,40;70,"isotopes - 70cm+80cm, T1=5min"
T-E1,2026_05_27,,,,18;18,15:12;15:17,50;80,Special 2026_03
T-E20,2026_05_27,,,,34;33,15:36;15:46,50;80,"Special 2026_03; isotopes, 40+80cm, T=5min; Climbed + auto"
T-E13,2026_05_27,,,,17;17,15:24;15:28,50;80,
T-E33,2026_05_27,,,,24.5;24.5,15:57;16:01,40;80,
T-N41,2026_05_27,,,,15;12,14:23;14:29,45;90,Special 2026_03; holes @ Tochi? measured 1 stem above @ 90cm?
T-N88,2026_05_27,,,,,14:47;14:56,45;90,Special 2026_03; autochamber; some values crossed out (illegible?)
T-N7a,2026_05_27,,,,90;90,13:26;13:32,45;80,buttresses
T-N7b,2026_05_27,,,,20;20,13:41;13:46,45;80,
T-N17a,2026_05_27,,,,,,,row crossed out / voided; species and heights struck through
T-N26,2026_05_27,,,,90;89,13:57;14:02,45;80,
T-N29,2026_05_27,,,,13;12.5,14:10;14:14,45;80,"termites, complex structure"
