"UniqueID","Transect","TreeID","species","status_2026_03","Description","meas_date","time_str","height_cm","start.time"
"T-E20_900cm","E","T-E20","Macuc<U+00FA>","special","rotten",2026-05-23,"21:03",900,2026-05-23 21:03:00
"T-E20_500cm","E","T-E20","Macuc<U+00FA>","special","rotten",2026-05-23,"21:34",500,2026-05-23 21:34:00
"T-E20_160cm","E","T-E20","Macuc<U+00FA>","special","rotten",2026-05-23,"21:52",160,2026-05-23 21:52:00
"T-E20_80cm","E","T-E20","Macuc<U+00FA>","special","rotten",2026-05-23,"21:58",80,2026-05-23 21:58:00
"T-E20_50cm","E","T-E20","Macuc<U+00FA>","special","rotten",2026-05-23,"22:05",50,2026-05-23 22:05:00
"T-N62_900cm","N","T-N62","Piranhieira","basic",NA,2026-05-25,"12:18",900,2026-05-25 12:18:00
"T-N62_500cm","N","T-N62","Piranhieira","basic",NA,2026-05-25,"12:37",500,2026-05-25 12:37:00
"T-N62_160cm","N","T-N62","Piranhieira","basic",NA,2026-05-25,"15:56",160,2026-05-25 15:56:00
"T-N62_80cm","N","T-N62","Piranhieira","basic",NA,2026-05-25,"16:05",80,2026-05-25 16:05:00
"T-N62_40cm","N","T-N62","Piranhieira","basic",NA,2026-05-25,"16:13",40,2026-05-25 16:13:00
"T-NE14_80cm","NE","T-NE14","Ing<U+00E1>","basic",NA,2026-05-23,"17:59",80,2026-05-23 17:59:00
"T-NE14_900cm","NE","T-NE14","Ing<U+00E1>","basic",NA,2026-05-23,"18:55",900,2026-05-23 18:55:00
"T-NE14_500cm","NE","T-NE14","Ing<U+00E1>","basic",NA,2026-05-23,"19:58",500,2026-05-23 19:58:00
"T-NE14_160cm","NE","T-NE14","Ing<U+00E1>","basic",NA,2026-05-23,"20:29",160,2026-05-23 20:29:00
"T-NE14_50cm","NE","T-NE14","Ing<U+00E1>","basic",NA,2026-05-23,"20:40",50,2026-05-23 20:40:00
"T-NW46a_1000cm","NW","T-NW46a","Mata Mata folha miuda","basic",NA,2026-05-24,"18:47",1000,2026-05-24 18:47:00
"T-NW46a_500cm","NW","T-NW46a","Mata Mata folha miuda","basic",NA,2026-05-24,"19:11",500,2026-05-24 19:11:00
"T-NW46a_160cm","NW","T-NW46a","Mata Mata folha miuda","basic",NA,2026-05-24,"19:29",160,2026-05-24 19:29:00
"T-NW46a_80cm","NW","T-NW46a","Mata Mata folha miuda","basic",NA,2026-05-24,"19:37",80,2026-05-24 19:37:00
"T-NW46a_40cm","NW","T-NW46a","Mata Mata folha miuda","basic",NA,2026-05-24,"19:45",40,2026-05-24 19:45:00
"T-S14b_1000cm","S","T-S14b","Ripeira","basic",NA,2026-05-24,"15:39",1000,2026-05-24 15:39:00
"T-S14b_500cm","S","T-S14b","Ripeira","basic",NA,2026-05-24,"16:02",500,2026-05-24 16:02:00
"T-S14b_160cm","S","T-S14b","Ripeira","basic",NA,2026-05-24,"16:21",160,2026-05-24 16:21:00
"T-S14b_80cm","S","T-S14b","Ripeira","basic",NA,2026-05-24,"16:30",80,2026-05-24 16:30:00
"T-S14b_40cm","S","T-S14b","Ripeira","basic",NA,2026-05-24,"16:36",40,2026-05-24 16:36:00
"T-SE58_800cm","SE","T-SE58","Caijurana","basic",NA,2026-05-24,"20:27",800,2026-05-24 20:27:00
"T-SE58_500cm","SE","T-SE58","Caijurana","basic",NA,2026-05-24,"20:51",500,2026-05-24 20:51:00
"T-SE58_160cm","SE","T-SE58","Caijurana","basic",NA,2026-05-24,"21:11",160,2026-05-24 21:11:00
"T-SE58_80cm","SE","T-SE58","Caijurana","basic",NA,2026-05-24,"21:19",80,2026-05-24 21:19:00
"T-SE58_40cm","SE","T-SE58","Caijurana","basic",NA,2026-05-24,"21:27",40,2026-05-24 21:27:00
"T-SW27_850cm","SW","T-SW27","Biorana","special",NA,2026-05-25,"11:20",850,2026-05-25 11:20:00
"T-SW27_500cm","SW","T-SW27","Biorana","special",NA,2026-05-25,"11:44",500,2026-05-25 11:44:00
"T-SW27_160cm","SW","T-SW27","Biorana","special",NA,2026-05-25,"15:22",160,2026-05-25 15:22:00
"T-SW27_80cm","SW","T-SW27","Biorana","special",NA,2026-05-25,"15:31",80,2026-05-25 15:31:00
"T-SW27_40cm","SW","T-SW27","Biorana","special",NA,2026-05-25,"15:38",40,2026-05-25 15:38:00
"T-W10_850cm","W","T-W10","Seringa Barriguda","basic",NA,2026-05-24,"13:29",850,2026-05-24 13:29:00
"T-W10_400cm","W","T-W10","Seringa Barriguda","basic",NA,2026-05-24,"13:57",400,2026-05-24 13:57:00
"T-W10_160cm","W","T-W10","Seringa Barriguda","basic",NA,2026-05-24,"14:19",160,2026-05-24 14:19:00
"T-W10_80cm","W","T-W10","Seringa Barriguda","basic",NA,2026-05-24,"14:26",80,2026-05-24 14:26:00
"T-W10_40cm","W","T-W10","Seringa Barriguda","basic",NA,2026-05-24,"14:34",40,2026-05-24 14:34:00
